"movie","subject"
"http://dbpedia.org/resource/The_Color_of_Money","http://dbpedia.org/resource/Category:American_drama_films"
"http://dbpedia.org/resource/The_Color_of_Money","http://dbpedia.org/resource/Category:American_films"
"http://dbpedia.org/resource/The_Color_of_Money","http://dbpedia.org/resource/Category:Color_sequels_of_black-and-white_films"
"http://dbpedia.org/resource/The_Color_of_Money","http://dbpedia.org/resource/Category:Films_based_on_American_novels"
"http://dbpedia.org/resource/The_Color_of_Money","http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/The_Color_of_Money","http://dbpedia.org/resource/Category:Films_featuring_a_Best_Actor_Academy_Award-winning_performance"
"http://dbpedia.org/resource/The_Color_of_Money","http://dbpedia.org/resource/Category:Gambling_films"
"http://dbpedia.org/resource/The_Color_of_Money","http://dbpedia.org/resource/Category:Touchstone_Pictures_films"
"http://dbpedia.org/resource/George_Harrison:_Living_in_the_Material_World","http://dbpedia.org/resource/Category:BBC_Films_films"
"http://dbpedia.org/resource/George_Harrison:_Living_in_the_Material_World","http://dbpedia.org/resource/Category:Documentary_films_about_the_Beatles"
"http://dbpedia.org/resource/George_Harrison:_Living_in_the_Material_World","http://dbpedia.org/resource/Category:British_biographical_films"
"http://dbpedia.org/resource/George_Harrison:_Living_in_the_Material_World","http://dbpedia.org/resource/Category:British_films"
"http://dbpedia.org/resource/George_Harrison:_Living_in_the_Material_World","http://dbpedia.org/resource/Category:English-language_films"
"http://dbpedia.org/resource/George_Harrison:_Living_in_the_Material_World","http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/George_Harrison:_Living_in_the_Material_World","http://dbpedia.org/resource/Category:George_Harrison"
"http://dbpedia.org/resource/George_Harrison:_Living_in_the_Material_World","http://dbpedia.org/resource/Category:2011_films"
"http://dbpedia.org/resource/A_Letter_to_Elia","http://dbpedia.org/resource/Category:2010_films"
"http://dbpedia.org/resource/A_Letter_to_Elia","http://dbpedia.org/resource/Category:American_documentary_films"
"http://dbpedia.org/resource/A_Letter_to_Elia","http://dbpedia.org/resource/Category:American_films"
"http://dbpedia.org/resource/A_Letter_to_Elia","http://dbpedia.org/resource/Category:English-language_films"
"http://dbpedia.org/resource/A_Letter_to_Elia","http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/A_Letter_to_Elia","http://dbpedia.org/resource/Category:Documentary_films_about_film_directors_and_producers"
"http://dbpedia.org/resource/A_Letter_to_Elia","http://dbpedia.org/resource/Category:2010s_documentary_films"
"http://dbpedia.org/resource/After_Hours_(film)","http://dbpedia.org/resource/Category:1985_films"
"http://dbpedia.org/resource/After_Hours_(film)","http://dbpedia.org/resource/Category:Film_scores_by_Howard_Shore"
